Model,DPO3034
Firmware Version,2.07

Point Format,Y
Horizontal Units,S
Horizontal Scale,200
Sample Interval,0.2
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-9.094e+02,4.04375
-9.092e+02,4.04438
-9.090e+02,4.04312
-9.088e+02,4.04344
-9.086e+02,4.04375
-9.084e+02,4.04312
-9.082e+02,4.04344
-9.080e+02,4.04281
-9.078e+02,4.04312
-9.076e+02,4.0425
-9.074e+02,4.04312
-9.072e+02,4.04344
-9.070e+02,4.04312
-9.068e+02,4.04219
-9.066e+02,4.04125
-9.064e+02,4.04063
-9.062e+02,4.04125
-9.060e+02,4.04188
-9.058e+02,4.04312
-9.056e+02,4.04219
-9.054e+02,4.04219
-9.052e+02,4.04094
-9.050e+02,4.04094
-9.048e+02,4.04063
-9.046e+02,4.04094
-9.044e+02,4.04125
-9.042e+02,4.04156
-9.040e+02,4.04094
-9.038e+02,4.04063
-9.036e+02,4.04063
-9.034e+02,4.04031
-9.032e+02,4.04094
-9.030e+02,4.04031
-9.028e+02,4.03969
-9.026e+02,4.04063
-9.024e+02,4.04063
-9.022e+02,4.04031
-9.020e+02,4.04063
-9.018e+02,4.04156
-9.016e+02,4.0425
-9.014e+02,4.04156
-9.012e+02,4.04094
-9.010e+02,4.03969
-9.008e+02,4.04063
-9.006e+02,4.04063
-9.004e+02,4.04125
-9.002e+02,4.03969
-9.000e+02,4.04063
-8.998e+02,4.04031
-8.996e+02,4.04063
-8.994e+02,4.03906
-8.992e+02,4.03844
-8.990e+02,4.03906
-8.988e+02,4.03875
-8.986e+02,4.03937
-8.984e+02,4.03875
-8.982e+02,4.03781
-8.980e+02,4.0375
-8.978e+02,4.03812
-8.976e+02,4.03688
-8.974e+02,4.03719
-8.972e+02,4.03844
-8.970e+02,4.03812
-8.968e+02,4.03781
-8.966e+02,4.03781
-8.964e+02,4.03719
-8.962e+02,4.0375
-8.960e+02,4.03719
-8.958e+02,4.03719
-8.956e+02,4.03625
-8.954e+02,4.03625
-8.952e+02,4.03688
-8.950e+02,4.03719
-8.948e+02,4.0375
-8.946e+02,4.03844
-8.944e+02,4.03875
-8.942e+02,4.03906
-8.940e+02,4.03844
-8.938e+02,4.03656
-8.936e+02,4.03563
-8.934e+02,4.0375
-8.932e+02,4.03719
-8.930e+02,4.03625
-8.928e+02,4.03594
-8.926e+02,4.03563
-8.924e+02,4.03625
-8.922e+02,4.0375
-8.920e+02,4.03781
-8.918e+02,4.03688
-8.916e+02,4.03688
-8.914e+02,4.03656
-8.912e+02,4.03688
-8.910e+02,4.03656
